Date,Time,Sym,Market,Reason Code,Res DT,Res QT TM,Res TRD TM,Vol,Flt Sht,Days,Price,M Cap M
2021-07-07,15:10:51,MTEX,NASDAQ,LUDP,07/07/2021,15:10:51,15:15:51,12,0.01,84,29,58
2021-07-08,09:37:24,DBGI,NASDAQ,LUDP,07/08/2021,09:37:24,09:42:24,1096,0.01,4,4,47
2021-07-15,09:44:26,CARV,NASDAQ,LUDP,07/15/2021,09:44:26,09:49:26,6070,0.53,0,18,54
2021-07-19,09:43:17,CRTD,NASDAQ,LUDP,07/19/2021,09:43:17,09:48:17,26563,0.13,0,4,53
2021-07-08,10:19:10,COHN,AMEX,M,07/08/2021,10:24:10,10:24:10,25,0.01,32,19,24
2021-07-08,09:44:56,UONE,NASDAQ,LUDP,07/08/2021,09:44:56,09:49:56,1009,0.07,7,8,68
2021-07-23,10:47:34,THCBU,NASDAQ,LUDP,07/23/2021,10:47:34,10:52:34,NA,NA,NA,NA,NA
2021-09-21,09:37:20,SEED,NASDAQ,LUDP,09/21/2021,09:37:20,09:42:20,66,0.09,53,7,40
2021-09-22,12:54:54,JRJC,NASDAQ,LUDP,09/22/2021,12:54:54,12:59:54,935,0.06,0,4,12
2021-07-26,11:56:08,MITQ,AMEX,M,07/26/2021,12:01:08,12:01:08,3118,NA,1,4,44
2021-07-08,10:38:38,MINM,NASDAQ,LUDP,07/08/2021,10:38:38,10:43:38,NA,NA,NA,NA,NA
2021-07-29,10:18:51,GHRS,NASDAQ,LUDP,07/29/2021,10:18:51,10:23:51,NA,NA,NA,NA,NA
2021-07-08,11:11:10,RHE-A,AMEX,M,07/08/2021,11:24:11,11:24:11,NA,NA,NA,NA,NA
2021-07-08,11:46:01,RAND,NASDAQ,LUDP,07/08/2021,11:46:01,11:56:01,3,0.0,202,17,38
2021-07-08,12:05:12,LMFA,NASDAQ,LUDP,07/08/2021,12:05:12,12:15:12,NA,NA,NA,NA,NA
2021-07-21,09:32:54,NVFY,NASDAQ,LUDP,07/21/2021,09:32:54,09:37:54,9761,0.0,0,4,27
2021-07-09,07:25:27,SGTX,NASDAQ,T1T2T3,07/09/2021,07:55:00,08:00:00,191,0.01,125,9,314
2021-07-09,07:30:03,STMP,NASDAQ,T2T3,07/09/2021,07:55:00,08:00:00,186,0.04,90,200,3750
2021-07-09,09:30:31,AGRI,NASDAQ,LUDP,07/09/2021,09:30:31,09:35:31,NA,NA,NA,NA,NA
2021-07-09,09:30:31,CVRX,NASDAQ,LUDP,07/09/2021,09:30:31,09:35:31,NA,NA,NA,NA,NA
2021-07-09,09:47:14,AGO-B,NYSE,DT1,07/09/2021,11:57:00,11:57:00,NA,NA,NA,NA,NA
2021-07-09,10:01:56,AGZD,NASDAQ,LUDP,07/09/2021,10:01:56,10:06:56,NA,NA,NA,NA,NA
2021-07-09,10:49:13,RNAZ,NASDAQ,LUDP,07/09/2021,10:49:13,10:54:13,NA,NA,NA,NA,NA
2021-08-24,09:35:40,SNTG,NASDAQ,LUDP,08/24/2021,09:35:40,09:40:40,4852,0.0,0,6,0
2021-07-09,11:26:39,RNGR,NYSE,T1T3,07/09/2021,12:10:05,12:10:05,6,0.0,1056,8,137
2021-08-18,09:59:10,SGOC,NASDAQ,LUDP,08/18/2021,09:59:10,10:09:11,628,0.02,74,4,474
2021-07-09,13:34:33,LHDX,NASDAQ,LUDP,07/09/2021,13:34:33,13:39:33,377,0.05,94,6,238
2021-07-09,14:05:41,CLWT,NASDAQ,LUDP,07/09/2021,14:05:41,14:10:41,129,0.01,17,3,18
2021-07-09,14:13:57,BNSO,NASDAQ,LUDP,07/09/2021,14:13:57,14:23:58,14,0.03,76,6,33
2021-07-19,10:09:31,MTSL,NASDAQ,LUDP,07/19/2021,10:09:31,10:14:31,39770,0.01,0,5,25
2021-07-09,14:42:14,MTR,NYSE,M,07/09/2021,14:47:14,14:47:14,14,0.0,128,6,11
2021-07-09,16:05:01,OPENW,NASDAQ,T12,,,,NA,NA,NA,NA,NA
2021-07-13,08:17:58,NEWA,NASDAQ,T12,,,,14456,0.0,0,4,42
2021-08-10,10:26:07,MDIA,NASDAQ,LUDP,08/10/2021,10:26:07,10:31:07,756,0.29,1,7,63
2021-07-13,10:08:22,LBPH,NASDAQ,LUDP,07/13/2021,10:08:22,10:13:22,5,0.0,1096,9,174
2021-07-13,09:21:17,KOR,NASDAQ,T1T3,07/13/2021,12:40:00,12:45:00,46,0.01,0,2,0
2021-07-13,08:55:01,HBMD,NASDAQ,T1T2T3,07/13/2021,09:45:00,09:50:00,6,0.02,1645,15,291
2021-07-13,09:36:43,OSAT,NASDAQ,LUDP,07/13/2021,09:36:43,09:41:43,939,0.09,0,6,36
2021-07-13,09:57:31,PSACU,NASDAQ,LUDP,07/13/2021,09:57:31,10:02:31,NA,NA,NA,NA,NA
2021-08-02,09:34:08,AHPI,NASDAQ,LUDP,08/02/2021,09:34:08,09:44:08,109859,0.57,0,8,37
2021-07-13,10:27:26,FTPA,NASDAQ,LUDP,07/13/2021,10:27:26,10:32:26,NA,NA,NA,NA,NA
2021-07-14,09:34:58,RCAT,NASDAQ,LUDP,07/14/2021,09:34:58,09:39:58,13453,0.01,0,4,161
2021-07-13,10:46:59,UNCY,NASDAQ,LUDP,07/13/2021,10:46:59,11:12:00,NA,NA,NA,NA,NA
2021-07-19,10:41:22,TDACU,NASDAQ,LUDP,07/19/2021,10:41:22,10:46:22,NA,NA,NA,NA,NA
2021-07-13,11:33:59,SLI,AMEX,M,07/13/2021,11:54:21,11:54:21,NA,NA,NA,NA,NA
2021-07-13,13:48:38,ZIVO,NASDAQ,LUDP,07/13/2021,13:48:38,13:58:38,137,0.01,29,3,31
2021-07-13,14:59:10,SLN,NASDAQ,LUDP,07/13/2021,14:59:10,15:04:10,NA,NA,NA,NA,NA
2021-07-13,15:47:26,NABL#,NYSE,M,,,,NA,NA,NA,NA,NA
2021-08-23,12:39:30,SENEB,NASDAQ,LUDP,08/23/2021,12:39:30,12:44:30,NA,NA,NA,NA,NA
2021-07-14,10:09:50,IINN,NASDAQ,LUDP,07/14/2021,10:09:50,10:19:50,NA,NA,NA,NA,NA
2021-08-03,10:32:50,WHLM,NASDAQ,LUDP,08/03/2021,10:32:50,,50,0.0,77,4,22
2021-07-14,09:36:32,WHG,NYSE,M,07/14/2021,09:41:32,09:41:32,290,0.01,25,22,193
2021-07-14,06:55:02,TMDX,NASDAQ,T1,,,,0,0.06,0,31,829
2021-07-14,10:47:03,UP,NYSE,M,07/14/2021,10:52:20,10:52:20,NA,NA,NA,NA,NA
2021-09-02,14:01:33,XTLB,NASDAQ,LUDP,09/02/2021,14:01:33,14:11:33,44,0.01,76,7,25
2021-07-14,11:06:47,USEG,NASDAQ,LUDP,07/14/2021,11:06:47,11:16:47,74590,0.05,0,5,22
2021-07-14,10:56:28,WBT,NYSE,T1T3,07/14/2021,11:15:39,11:15:39,6029,0.05,22,23,3290
2021-07-28,15:07:19,ALZN,NASDAQ,LUDP,07/28/2021,15:07:19,15:17:20,10761,0.01,4,5,444
2021-07-14,14:00:44,ADIL,NASDAQ,LUDP,07/14/2021,14:00:44,14:05:44,8804,0.08,1,2,45
2021-07-14,16:25:18,RBNC,NASDAQ,T1T2T3,07/14/2021,16:55:00,17:00:00,23,0.01,617,27,441
2021-07-14,19:50:22,CNST,NASDAQ,T12,,,,1283,0.05,34,33,1630
2021-08-11,06:55:05,FGEN,NASDAQ,T1T2T3,08/11/2021,07:25:00,07:30:00,1861,0.1,40,13,1220
2021-07-15,10:05:24,YVR,NASDAQ,LUDP,07/15/2021,10:05:24,10:10:24,180958,0.05,0,2,33
